,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,webURL,numViolations,id,impact,tags,description,help,helpUrl,html,failureSummary,DOM
8,30,30,8,https://slack.com/,13,landmark-no-duplicate-banner,moderate,"['cat.semantics', 'best-practice']",Ensures the document has at most one banner landmark,Document should not have more than one banner landmark,https://dequeuniversity.com/rules/axe/4.7/landmark-no-duplicate-banner?application=playwright,"[['<header role=""banner"">']]",[['Fix any of the following:\n  Document has more than one banner landmark']],1
7,29,29,7,https://slack.com/,13,landmark-contentinfo-is-top-level,moderate,"['cat.semantics', 'best-practice']",Ensures the contentinfo landmark is at top level,Contentinfo landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.7/landmark-contentinfo-is-top-level?application=playwright,"[['<div class=""c-nav--footer__metasocial"" role=""contentinfo"">']]",[['Fix any of the following:\n  The contentinfo landmark is contained in another landmark.']],1
6,28,28,6,https://slack.com/,13,landmark-banner-is-top-level,moderate,"['cat.semantics', 'best-practice']",Ensures the banner landmark is at top level,Banner landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.7/landmark-banner-is-top-level?application=playwright,"[['<div class=""c-announcement-banner banner--fixed-top "" data-persist-on-cta-click="""" role=""banner"">']]",[['Fix any of the following:\n  The banner landmark is contained in another landmark.']],1
5,27,27,5,https://slack.com/,13,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag412', 'section508', 'section508.22.i', 'TTv5', 'TT12.d']",Ensures <iframe> and <frame> elements have an accessible name,Frames must have an accessible name,https://dequeuniversity.com/rules/axe/4.7/frame-title?application=playwright,"[['<iframe id=""drift-iframe"" src=""https://d34u8crftukxnk.cloudfront.net/snippets/drift/index.html"" width=""0"" height=""0"" data-gtm-yt-inspected-984921_807=""true"" data-gtm-yt-inspected-984921_809=""true"" data-gtm-yt-inspected-984921_810=""true"" data-gtm-yt-inspected-984921_811=""true"" data-gtm-yt-inspected-984921_879=""true"" data-gtm-yt-inspected-984921_880=""true"" data-gtm-yt-inspected-984921_881=""true"" data-gtm-yt-inspected-984921_882=""true"">']]","[['Fix any of the following:\n  Element has no title attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element\'s default semantics were not overridden with role=""none"" or role=""presentation""']]",1
4,26,26,4,https://slack.com/,13,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/4.7/duplicate-id?application=playwright,"[['<li id=""security"" class=""nav_link nav_link_l4""><a href=""/security"" data-clog-click="""" data-clog-ui-element=""link_security_exp_nav"" data-clog-ui-component=""inc_header_exp_nav""><div class=""nav_link_label""><div>Security</div></div><div class=""nav_link_sublabel"">Protect company data</div></a></li>', '<iframe id=""c-yt-player__media"" frameborder=""0"" allowfullscreen=""1"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" title=""YouTube video player"" width=""640"" height=""360"" src=""https://www.youtube-nocookie.com/embed/?showinfo=0&amp;cc_load_policy=1&amp;cc_lang_pref=en&amp;enablejsapi=1&amp;origin=https%3A%2F%2Fslack.com&amp;widgetid=1"" data-gtm-yt-inspected-984921_807=""true"" data-gtm-yt-inspected-984921_809=""true"" data-gtm-yt-inspected-984921_810=""true"" data-gtm-yt-inspected-984921_811=""true"" data-gtm-yt-inspected-984921_879=""true"" data-gtm-yt-inspected-984921_880=""true"" data-gtm-yt-inspected-984921_881=""true"" data-gtm-yt-inspected-984921_882=""true"">']]","[['Fix any of the following:\n  Document has multiple static elements with the same id attribute: security', 'Fix any of the following:\n  Document has multiple static elements with the same id attribute: c-yt-player__media']]",1
3,25,25,3,https://slack.com/,13,duplicate-id-aria,critical,"['cat.parsing', 'wcag2a', 'wcag411']",Ensures every id attribute value used in ARIA and in labels is unique,IDs used in ARIA and labels must be unique,https://dequeuniversity.com/rules/axe/4.7/duplicate-id-aria?application=playwright,"[['<span class=""u-visually-hidden"" id=""promo_aria_description"">Link may open in new tab</span>']]",[['Fix any of the following:\n  Document has multiple elements referenced with ARIA with the same id attribute: promo_aria_description']],1
2,24,24,2,https://slack.com/,13,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143', 'ACT', 'TTv5', 'TT13.c']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.7/color-contrast?application=playwright,"[['<span class=""nsm7Bb-HzV7m-LgbsSe-BPrWId"">Sign up with Google</span>']]","[['Fix any of the following:\n  Element has insufficient color contrast of 3.56 (foreground color: #ffffff, background color: #4285f4, font size: 10.5pt (14px), font weight: bold). Expected contrast ratio of 4.5:1']]",1
1,23,23,1,https://slack.com/,13,aria-required-attr,critical,"['cat.aria', 'wcag2a', 'wcag412']",Ensures elements with ARIA roles have all required ARIA attributes,Required ARIA attributes must be provided,https://dequeuniversity.com/rules/axe/4.7/aria-required-attr?application=playwright,"[['<span role=""heading"" tabindex=""0"" class=""v--main"" data-clog-click="""" data-clog-ui-element=""btn_why_slack_main"" data-clog-ui-component=""inc_footer_nav"">Why Slack?</span>', '<span role=""heading"" tabindex=""0"" class=""v--main"" data-clog-click="""" data-clog-ui-element=""btn_product_main"" data-clog-ui-component=""inc_footer_nav"">Product</span>', '<span role=""heading"" tabindex=""0"" class=""v--main"" data-clog-click="""" data-clog-ui-element=""btn_pricing_main"" data-clog-ui-component=""inc_footer_nav"">Pricing</span>', '<span role=""heading"" tabindex=""0"" class=""v--main"" data-clog-click="""" data-clog-ui-element=""btn_resources_main"" data-clog-ui-component=""inc_footer_nav"">Resources</span>', '<span role=""heading"" tabindex=""0"" class=""v--main"" data-clog-click="""" data-clog-ui-element=""btn_company_main"" data-clog-ui-component=""inc_footer_nav"">Company</span>']]","[['Fix any of the following:\n  Required ARIA attribute not present: aria-level', 'Fix any of the following:\n  Required ARIA attribute not present: aria-level', 'Fix any of the following:\n  Required ARIA attribute not present: aria-level', 'Fix any of the following:\n  Required ARIA attribute not present: aria-level', 'Fix any of the following:\n  Required ARIA attribute not present: aria-level']]",1
9,32,32,10,https://slack.com/,13,landmark-unique,moderate,"['cat.semantics', 'best-practice']",Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.7/landmark-unique?application=playwright,"[['<header role=""banner"">', '<footer class=""c-nav c-nav--footer"">']]","[['Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable', 'Fix any of the following:\n  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable']]",1
11,34,34,12,https://slack.com/,13,skip-link,moderate,"['cat.keyboard', 'best-practice']",Ensure all skip links have a focusable target,The skip-link target should exist and be focusable,https://dequeuniversity.com/rules/axe/4.7/skip-link?application=playwright,"[['<a class=""c-button v--primary c-skip-link is-focusable"" href=""#main_focusable"" data-clog-click="""" data-clog-ui-element=""link_skip"" data-clog-ui-component=""inc_skip_link"">Skip to main content</a>']]",[['Fix any of the following:\n  No skip link target']],1
50,240,23,2,https://soundcloud.com/,6,aria-valid-attr,critical,"['cat.aria', 'wcag2a', 'wcag412']",Ensures attributes that begin with aria- are valid ARIA attributes,ARIA attributes must conform to valid names,https://dequeuniversity.com/rules/axe/4.7/aria-valid-attr?application=playwright,"[['<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-MhBX8k6Nl86P4uri-Aan0Eg-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-7  image__full g-opacity-transition"" aria-label=""Dorcci x Kagan - Damn Things"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-OwkI9maTTkoZYDUD-mWgSzQ-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-1  image__full g-opacity-transition"" aria-label=""Prada - Cassö x Raye x D Block Europe"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-bzEsxvsqQHbixgMz-0vm4EQ-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-4  image__full g-opacity-transition"" aria-label=""Prada - Cassö Edit (Valexus Remix)"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-vSy4YzzSfrHh9lSc-VLnzrg-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-2  image__full g-opacity-transition"" aria-label=""JoeyAK - Zoutelande [ Katsgezellig TikTok Remix ]"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-tuClqjDw3dOFFzu9-yQk1zQ-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-10  image__full g-opacity-transition"" aria-label=""Calvin Harris &amp; Ellie Goulding - Miracle (Amigo Bootleg)"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-yJ1KOPoKkDgdKBHO-sWCtnA-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-3  image__full g-opacity-transition"" aria-label=""Brunzyn 101Barz - Zomersessie 2023 101Barz"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-fO5SHom8Bx5HTafD-R0kcyQ-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-7  image__full g-opacity-transition"" aria-label=""Dimitri K - Where Have You Been"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-CVdLLnQXT8QejDeZ-xF0xlA-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-7  image__full g-opacity-transition"" aria-label=""Prada - Cassö Edit (Griever Uptempo Remix)"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-y6mu6Rgd4gkseHfE-VdzCGQ-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-1  image__full g-opacity-transition"" aria-label=""NANANA x COLA - Ian Asher Edit (Montner Flip)"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-M3nqwyAdCMyF2cma-hooEcg-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-7  image__full g-opacity-transition"" aria-label=""DAAGH [Prod. by Holly]"" aria-role=""img""></span>']]","[['Fix any of the following:\n  Invalid ARIA attribute name: aria-role', 'Fix any of the following:\n  Invalid ARIA attribute name: aria-role', 'Fix any of the following:\n  Invalid ARIA attribute name: aria-role', 'Fix any of the following:\n  Invalid ARIA attribute name: aria-role', 'Fix any of the following:\n  Invalid ARIA attribute name: aria-role', 'Fix any of the following:\n  Invalid ARIA attribute name: aria-role', 'Fix any of the following:\n  Invalid ARIA attribute name: aria-role', 'Fix any of the following:\n  Invalid ARIA attribute name: aria-role', 'Fix any of the following:\n  Invalid ARIA attribute name: aria-role', 'Fix any of the following:\n  Invalid ARIA attribute name: aria-role']]",8
51,241,24,3,https://soundcloud.com/,6,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143', 'ACT', 'TTv5', 'TT13.c']",Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.7/color-contrast?application=playwright,"[['<a href=""https://checkout.soundcloud.com/artist?ref=t366"" target=""_blank"" class=""nextProAnnualPromotionBanner__link"">Redeem Now</a>', '<a type=""button"" class=""consumerSubscriptionsCheckoutButton frontHero__ctaButton sc-button-cta sc-button-primary sc-button sc-button-large sc-button-responsive"" tabindex=""0"" href=""https://checkout.soundcloud.com/go/buy/go-plus?ref=t1032"" target=""_blank"" title="""" aria-label="""">', '<a href=""/upload"" class=""frontContent__uploadButton sc-button sc-button-cta sc-button-primary sc-button-large"">Upload your own</a>', '<a class=""trendingTracks__ctaButton sc-button sc-button-large sc-button-cta sc-button-primary"" href=""/home"">\n    Explore trending playlists\n  </a>', '<button type=""button"" class=""g-opacity-transition signupModule__signupCta sc-button sc-button-large signupButton sc-button-cta sc-button-primary"" tabindex=""0"" title=""Create a SoundCloud account"" aria-label=""Create a SoundCloud account"">Create account</button>']]","[['Fix any of the following:\n  Element has insufficient color contrast of 2.99 (foreground color: #3388dd, background color: #fbe2e2, font size: 11.3pt (15px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 3.2 (foreground color: #ffffff, background color: #ff5500, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 3.2 (foreground color: #ffffff, background color: #ff5500, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 3.2 (foreground color: #ffffff, background color: #ff5500, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1', 'Fix any of the following:\n  Element has insufficient color contrast of 3.2 (foreground color: #ffffff, background color: #ff5500, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1']]",8
52,242,25,4,https://soundcloud.com/,6,meta-viewport,critical,"['cat.sensory-and-visual-cues', 'wcag2aa', 'wcag144', 'ACT']","Ensures <meta name=""viewport""> does not disable text scaling and zooming",Zooming and scaling must not be disabled,https://dequeuniversity.com/rules/axe/4.7/meta-viewport?application=playwright,"[['<meta name=""viewport"" content=""width=device-width,minimum-scale=1,maximum-scale=1,user-scalable=no"">']]",[['Fix any of the following:\n  user-scalable=no on <meta> tag disables zooming on mobile devices']],8
53,243,26,5,https://soundcloud.com/,6,region,moderate,"['cat.keyboard', 'best-practice']",Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.7/region?application=playwright,"[['<div class=""banner__contentContainer"">']]",[['Fix any of the following:\n  Some page content is not contained by landmarks']],8
49,239,22,1,https://soundcloud.com/,6,aria-valid-attr-value,critical,"['cat.aria', 'wcag2a', 'wcag412']",Ensures all ARIA attributes have valid values,ARIA attributes must conform to valid values,https://dequeuniversity.com/rules/axe/4.7/aria-valid-attr-value?application=playwright,"[['<input class=""headerSearch__input sc-input g-all-transitions-300"" placeholder=""Search for artists, bands, tracks, podcasts"" type=""search"" name=""q"" autocomplete=""off"" aria-label=""Search"" aria-autocomplete=""list"" aria-owns=""searchMenuList"">', '<a href="""" class=""header__moreButton sc-ir"" tabindex=""0"" aria-haspopup=""true"" role=""button"" aria-owns=""dropdown-button-77"">Settings and more</a>', '<input class=""headerSearch__input sc-input g-all-transitions-300"" placeholder=""Search for artists, bands, tracks, podcasts"" type=""search"" name=""q"" autocomplete=""off"" aria-label=""Search"" aria-autocomplete=""list"" aria-owns=""searchMenuList"">', '<a type=""button"" class=""localeSelector sc-pointer sc-text-primary"" tabindex=""0"" aria-haspopup=""true"" role=""button"" aria-owns=""dropdown-button-99"">Language: <span class=""localeSelector_language sc-text"">English (US)</span></a>']]","[['Fix all of the following:\n  Invalid ARIA attribute value: aria-owns=""searchMenuList""', 'Fix all of the following:\n  Invalid ARIA attribute value: aria-owns=""dropdown-button-77""', 'Fix all of the following:\n  Invalid ARIA attribute value: aria-owns=""searchMenuList""', 'Fix all of the following:\n  Invalid ARIA attribute value: aria-owns=""dropdown-button-99""']]",8
48,238,21,0,https://soundcloud.com/,6,aria-allowed-attr,critical,"['cat.aria', 'wcag2a', 'wcag412']",Ensures ARIA attributes are allowed for an element's role,Elements must only use allowed ARIA attributes,https://dequeuniversity.com/rules/axe/4.7/aria-allowed-attr?application=playwright,"[['<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-MhBX8k6Nl86P4uri-Aan0Eg-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-7  image__full g-opacity-transition"" aria-label=""Dorcci x Kagan - Damn Things"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-OwkI9maTTkoZYDUD-mWgSzQ-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-1  image__full g-opacity-transition"" aria-label=""Prada - Cassö x Raye x D Block Europe"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-bzEsxvsqQHbixgMz-0vm4EQ-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-4  image__full g-opacity-transition"" aria-label=""Prada - Cassö Edit (Valexus Remix)"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-vSy4YzzSfrHh9lSc-VLnzrg-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-2  image__full g-opacity-transition"" aria-label=""JoeyAK - Zoutelande [ Katsgezellig TikTok Remix ]"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-tuClqjDw3dOFFzu9-yQk1zQ-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-10  image__full g-opacity-transition"" aria-label=""Calvin Harris &amp; Ellie Goulding - Miracle (Amigo Bootleg)"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-yJ1KOPoKkDgdKBHO-sWCtnA-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-3  image__full g-opacity-transition"" aria-label=""Brunzyn 101Barz - Zomersessie 2023 101Barz"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-fO5SHom8Bx5HTafD-R0kcyQ-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-7  image__full g-opacity-transition"" aria-label=""Dimitri K - Where Have You Been"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-CVdLLnQXT8QejDeZ-xF0xlA-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-7  image__full g-opacity-transition"" aria-label=""Prada - Cassö Edit (Griever Uptempo Remix)"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-y6mu6Rgd4gkseHfE-VdzCGQ-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-1  image__full g-opacity-transition"" aria-label=""NANANA x COLA - Ian Asher Edit (Montner Flip)"" aria-role=""img"">', '<span style=""background-image: url(&quot;https://i1.sndcdn.com/artworks-M3nqwyAdCMyF2cma-hooEcg-t500x500.jpg&quot;); width: 100%; height: 100%; opacity: 1;"" class=""sc-artwork  sc-artwork-placeholder-7  image__full g-opacity-transition"" aria-label=""DAAGH [Prod. by Holly]"" aria-role=""img""></span>', '<div id=""onetrust-banner-sdk"" class=""otFlat ot-iab-2 bottom vertical-align-content ot-buttons-fw"" aria-modal=""true"" tabindex=""0"" style=""\n                        animation-timing-function: ease-out;\n                        animation-fill-mode: forwards;\n                        animation-duration: 1000ms;animation-name: slide-down-custom;bottom: -99px;"">']]","[['Fix all of the following:\n  aria-label attribute cannot be used on a span with no valid role attribute.', 'Fix all of the following:\n  aria-label attribute cannot be used on a span with no valid role attribute.', 'Fix all of the following:\n  aria-label attribute cannot be used on a span with no valid role attribute.', 'Fix all of the following:\n  aria-label attribute cannot be used on a span with no valid role attribute.', 'Fix all of the following:\n  aria-label attribute cannot be used on a span with no valid role attribute.', 'Fix all of the following:\n  aria-label attribute cannot be used on a span with no valid role attribute.', 'Fix all of the following:\n  aria-label attribute cannot be used on a span with no valid role attribute.', 'Fix all of the following:\n  aria-label attribute cannot be used on a span with no valid role attribute.', 'Fix all of the following:\n  aria-label attribute cannot be used on a span with no valid role attribute.', 'Fix all of the following:\n  aria-label attribute cannot be used on a span with no valid role attribute.', 'Fix all of the following:\n  ARIA attribute is not allowed: aria-modal=""true""']]",8
64,314,11,0,https://symbolic.com/,4,empty-heading,minor,"['cat.name-role-value', 'best-practice']",Ensures headings have discernible text,Headings should not be empty,https://dequeuniversity.com/rules/axe/4.7/empty-heading?application=playwright,"[['<h3 class=""uabb-info-list-title""></h3>']]","[['Fix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute']]",11
